name,team_abb,team_name,ortg_month_before,ortg_bubble_seeding,drtg_month_before,drtg_bubble_seeding,netrtg_month_before,netrtg_bubble_seeding
Jonas Valanciunas,MEM,Memphis Grizzlies,105.5,105.4,107.1,106.5,-1.6,-1.1
Josh Richardson,PHI,Philadelphia 76ers,114.7,117.8,106.6,118.1,8.1,-0.2
Jrue Holiday,NOP,New Orleans Pelicans,115.8,104.9,105.5,105.3,10.3,-0.4
Kawhi Leonard,LAC,LA Clippers,114.3,127,106.3,108.1,7.9,18.8
Kemba Walker,BOS,Boston Celtics,109.9,107.1,108.1,104.1,1.8,2.9
Kendrick Nunn,MIA,Miami Heat,118.2,95.2,115.6,112.4,2.6,-17.2
Kentavious Caldwell-Pope,LAL,Los Angeles Lakers,106.4,90.9,101.8,109.2,4.7,-18.3
Khem Birch,ORL,Orlando Magic,58.1,107.7,68.3,119.2,-10.2,-11.5
Khris Middleton,MIL,Milwaukee Bucks,110.1,112.1,99.1,111.5,11,0.6
Kristaps Porzingis,DAL,Dallas Mavericks,118.3,119.1,101.6,124.6,16.7,-5.5
Kyle Anderson,MEM,Memphis Grizzlies,100.9,109.2,106.2,105.5,-5.3,3.7
Kyle Lowry,TOR,Toronto Raptors,112,99.5,103.8,94.4,8.2,5.2
Landry Shamet,LAC,LA Clippers,112.7,112.2,105.1,113,7.6,-0.8
LeBron James,LAL,Los Angeles Lakers,107.2,101.3,100.9,110.1,6.3,-8.8
Lonnie Walker IV,SAS,San Antonio Spurs,106,112.5,117.2,109.2,-11.3,3.3
Lonzo Ball,NOP,New Orleans Pelicans,114.6,104,106,115.6,8.5,-11.6
Luguentz Dort,OKC,Oklahoma City Thunder,114.7,113.3,110.2,109.7,4.5,3.6
Luka Doncic,DAL,Dallas Mavericks,113.9,114.6,108.1,115.5,5.8,-0.9
Malcolm Brogdon,IND,Indiana Pacers,108.9,104.3,101.6,106,7.3,-1.8
Marc Gasol,TOR,Toronto Raptors,73.5,99.7,90.9,91.8,-17.4,7.9
Marcus Morris Sr.,LAC,LA Clippers,115.2,129.7,103.5,109.2,11.7,20.5
Marcus Smart,BOS,Boston Celtics,111.7,120.2,105.2,107,6.6,13.2
Mario Hezonja,POR,Portland Trail Blazers,111.2,112,114.3,124.9,-3.1,-12.9
Markelle Fultz,ORL,Orlando Magic,114.3,111.1,116.3,114.8,-2,-3.7
Markieff Morris,LAL,Los Angeles Lakers,100.6,96,99.3,106.3,1.3,-10.3
Maxi Kleber,DAL,Dallas Mavericks,111.4,118.5,109.5,120.7,1.9,-2.2
Mikal Bridges,PHX,Phoenix Suns,113.7,118.3,111.1,107.4,2.6,11
Mike Conley,UTA,Utah Jazz,112.7,113,110.2,107.9,2.4,5.1
Monte Morris,DEN,Denver Nuggets,111.4,116,111.4,120.4,0,-4.4
Myles Turner,IND,Indiana Pacers,103.4,106.2,98.8,110.5,4.6,-4.3
Nemanja Bjelica,SAC,Sacramento Kings,111.9,116,109.9,106.4,2,9.5
Nikola Jokic,DEN,Denver Nuggets,112.7,118.1,111.4,119.4,1.3,-1.4
Nikola Vucevic,ORL,Orlando Magic,116.5,114.9,114.5,104.4,1.9,10.4
Norman Powell,TOR,Toronto Raptors,116.4,100.7,111.8,108.4,4.6,-7.7
OG Anunoby,TOR,Toronto Raptors,111.1,101.9,105.9,90.6,5.2,11.3
P.J. Tucker,HOU,Houston Rockets,111.4,109.5,110.6,106.7,0.8,2.8
Pascal Siakam,TOR,Toronto Raptors,108.2,103.9,102.2,94.9,6,9
Patrick Beverley,LAC,LA Clippers,116.8,128.3,101.4,102.2,15.4,26.1
Paul George,LAC,LA Clippers,114.8,121.3,107.1,109.7,7.7,11.6
Paul Millsap,DEN,Denver Nuggets,109.1,115.2,105,119.4,4.1,-4.2
Richaun Holmes,SAC,Sacramento Kings,141.8,115.4,116,117.7,25.7,-2.2
Ricky Rubio,PHX,Phoenix Suns,116.4,115.8,108.2,110.1,8.2,5.7
Robert Covington,HOU,Houston Rockets,110.4,109.5,107.4,103.1,3,6.4
Rodions Kurucs,BKN,Brooklyn Nets,95.2,112,105.4,111.1,-10.2,0.9
Royce O'Neale,UTA,Utah Jazz,108.1,106.5,112.9,103.2,-4.7,3.2
Rudy Gay,SAS,San Antonio Spurs,108,113,109.7,105.5,-1.7,7.5
Rudy Gobert,UTA,Utah Jazz,108.8,111,114.2,104.5,-5.4,6.5
Rui Hachimura,WAS,Washington Wizards,112,101,110.1,111,1.9,-10
Russell Westbrook,HOU,Houston Rockets,110.5,109.5,107.6,113.3,2.9,-3.8
Serge Ibaka,TOR,Toronto Raptors,111.9,97.9,97.4,111.2,14.5,-13.3
Seth Curry,DAL,Dallas Mavericks,115.6,114.9,104.5,125.3,11.1,-10.4
Shabazz Napier,WAS,Washington Wizards,112.3,97.9,112.8,113.4,-0.5,-15.6
Shai Gilgeous-Alexander,OKC,Oklahoma City Thunder,114.1,108.8,112.3,107.4,1.8,1.4
Steven Adams,OKC,Oklahoma City Thunder,112,106.7,106.1,102,5.9,4.6
T.J. Warren,IND,Indiana Pacers,105.8,117,106.3,102.6,-0.4,14.3
Terrance Ferguson,OKC,Oklahoma City Thunder,98.9,92.6,111.4,109.1,-12.4,-16.6
Thomas Bryant,WAS,Washington Wizards,110.1,104.8,104.8,110,5.3,-5.2
Tim Hardaway Jr.,DAL,Dallas Mavericks,113,117.7,105.7,126,7.3,-8.3
Timothe Luwawu-Cabarrot,BKN,Brooklyn Nets,109.8,116.5,102,108.5,7.8,7.9
Tobias Harris,PHI,Philadelphia 76ers,116.7,116.7,114.9,112.3,1.8,4.5
Tony Bradley,UTA,Utah Jazz,123.1,106.5,107.9,120.4,15.2,-13.9
Torrey Craig,DEN,Denver Nuggets,100.7,115.9,118.6,122.7,-17.9,-6.7
Troy Brown Jr.,WAS,Washington Wizards,103.7,104.5,112.3,113.7,-8.6,-9.2
Victor Oladipo,IND,Indiana Pacers,109.4,107,99.5,109.1,9.9,-2.2
Wes Iwundu,ORL,Orlando Magic,119.9,107,106.2,112.7,13.7,-5.7
Wesley Matthews,MIL,Milwaukee Bucks,99.7,119.7,91.9,105.2,7.8,14.5
Zion Williamson,NOP,New Orleans Pelicans,114.1,103.6,104.2,128.4,9.9,-24.9
